fcmr6z	CMRomanCyrillic-Regular
fcmr8a	CMRoman-Regular
fcmrc6y	CMRomanAsian-RegularSC
fcmrc6z	CMRomanCyrillic-RegularSC
fcmrc8a	CMRoman-RegularSC
fcmrcpg	CMRomanGreek-RegularSC
fcmri6y	CMRomanAsian-Italic
fcmri6z	CMRomanCyrillic-Italic
fcmri8a	CMRoman-Italic
fcmrij6y	CMRomanAsian-ItalicOsF
fcmrij6z	CMRomanCyrillic-ItalicOsF
fcmrij8a	CMRoman-ItalicOsF
fcmrijpg	CMRomanGreek-ItalicOsF
fcmripg	CMRomanGreek-Italic
fcmrpg	CMRomanGreek-Regular
fcsb6y	CMSansAsian-Bold
fcsb6z	CMSansCyrillic-Bold
fcsb8a	CMSans-Bold
fcsbo6y	CMSansAsian-BoldSlanted
fcsbo6z	CMSansCyrillic-BoldSlanted
fcsbo8a	CMSans-BoldSlanted
fcsbopg	CMSansGreek-BoldSlanted
fcsbpg	CMSansGreek-Bold
fcsr6y	CMSansAsian-Regular
fcsr6z	CMSansCyrillic-Regular
fcsr8a	CMSans-Regular
fcsro6y	CMSansAsian-Slanted
fcsro6z	CMSansCyrillic-Slanted
fcsro8a	CMSans-Slanted
fcsropg	CMSansGreek-Slanted
fcsrpg	CMSansGreek-Regular
fctr6y	CMTypewriterAsian-Regular
fctr6z	CMTypewriterCyrillic-Regular
fctr8a	CMTypewriter-Regular
fctrc6y	CMTypewriterAsian-RegularSC
fctrc6z	CMTypewriterCyrillic-RegularSC
fctrc8a	CMTypewriter-RegularSC
fctrcpg	CMTypewriterGreek-RegularSC
fctri6y	CMTypewriterAsian-Italic
fctri6z	CMTypewriterCyrillic-Italic
fctri8a	CMTypewriter-Italic
fctrij6y	CMTypewriterAsian-ItalicOsF
fctrij6z	CMTypewriterCyrillic-ItalicOsF
fctrij8a	CMTypewriter-ItalicOsF
fctrijpg	CMTypewriterGreek-ItalicOsF
fctripg	CMTypewriterGreek-Italic
fctrpg	CMTypewriterGreek-Regular
feybl10	TeX-feybl10
feybo10	TeX-feybo10
feybr10	TeX-feybr10
feyml10	TeX-feyml10
feymo10	TeX-feymo10
feymr10	TeX-feymr10
fibb84	FIBB84
fibr84	IbycusHTG-Regular
flatline	Flatline
fmex7	TeX-cmex7
fmex8	TeX-cmex8
